State,Fatalities-Highways,Fatalities-Other roads
AL,301,549
AZ,352,545
AR,243,307
CA,908,2479
CO,318,229
CT,101,169
DE,10,121
FL,1546,1392
GA,557,875
ID,90,126
IL,402,596
IN,224,593
IA,101,219
KS,124,231
KY,232,529
LA,261,491
ME,38,118
MD,122,398
MA,167,178
MI,373,594
MN,126,285
MS,146,531
MO,357,513
MT,85,139
NE,95,151
NV,160,166
NH,33,81
NJ,283,278
NM,148,150
NY,288,848
NC,255,1124
ND,46,85
OH,352,758
OK,190,455
OR,192,254
PA,436,764
RI,16,29
SC,256,723
SD,67,67
TN,391,571
TX,1783,1799
UT,123,155
VT,24,33
VA,213,541
WA,108,443
WV,83,185
WI,164,402
WY,72,73
